Entry Name,GLP1R_3PA_GLP1_1 MaxLFQ Intensity,GLP1R_3PA_GLP1_2 MaxLFQ Intensity,GLP1R_3PA_GLP1_3 MaxLFQ Intensity,GLP1R_3PA_GLP1_4 MaxLFQ Intensity,GLP1R_3PA_VEH_1 MaxLFQ Intensity,GLP1R_3PA_VEH_2 MaxLFQ Intensity,GLP1R_3PA_VEH_3 MaxLFQ Intensity,GLP1R_3PA_VEH_4 MaxLFQ Intensity,GLP1R_WT_GLP1_1 MaxLFQ Intensity,GLP1R_WT_GLP1_2 MaxLFQ Intensity,GLP1R_WT_GLP1_3 MaxLFQ Intensity,GLP1R_WT_GLP1_4 MaxLFQ Intensity,GLP1R_WT_VEH_1 MaxLFQ Intensity,GLP1R_WT_VEH_2 MaxLFQ Intensity,GLP1R_WT_VEH_3 MaxLFQ Intensity,GLP1R_WT_VEH_4 MaxLFQ Intensity,NEG_1 MaxLFQ Intensity
RL18A_RAT,294364.2,308012.5,280348.62,279824.34,316664.16,225039.64,273014.34,263583.7,247924.48,188998.45,254212.92,198572.25,241993.67,266746.5,245197.1,241577.94,252241.72
HPCL1_RAT,4841.1763,0.0,4240.3677,5952.506,0.0,4358.9424,0.0,4040.0286,4698.4575,3898.7996,4354.607,0.0,0.0,0.0,0.0,0.0,4564.699
RL23A_RAT,2191045.5,2245153.2,2259206.0,2166241.8,2178102.8,2252619.2,2306374.8,2341732.5,1931203.2,1912596.8,1980812.4,1787254.6,2027170.6,2002997.6,2000882.0,1975955.0,1874025.8
RS6_RAT,619597.6,645987.8,614723.8,576691.6,617242.44,550217.44,585715.9,561075.9,567692.94,501465.44,577475.4,550038.7,566736.2,560990.0,575771.44,637840.6,565725.75
MTPN_RAT,47429.754,47614.38,50938.125,47559.92,0.0,46756.863,50780.79,47618.887,47838.74,42735.695,0.0,46666.16,50451.85,47699.03,44238.035,0.0,43921.61
H4_RAT,3739433.2,1170512.5,1075758.4,1493152.1,1498999.5,1630947.9,1958252.0,2275280.5,4163550.0,929526.75,1400953.2,751637.94,1023211.75,1175058.4,1516920.8,1619993.5,1177809.6
VATB2_RAT,22729.719,24588.707,0.0,28068.19,0.0,23465.508,0.0,0.0,24830.89,25448.395,22244.79,33463.26,16640.035,24582.893,21062.502,26854.025,0.0
RAB3C_RAT,34421.297,36232.676,31341.957,35361.023,29258.24,28275.43,33335.617,32232.924,34623.58,33075.277,35693.973,40163.254,33621.664,37220.848,35803.1,37322.11,42945.543
RAN_RAT,609201.8,535619.4,551194.75,571661.44,583224.2,626560.9,577476.3,619366.6,557101.5,662166.9,558728.5,591947.94,630576.7,612305.3,649684.2,619822.2,620823.1
RL23_RAT,2779934.2,2845304.0,2708656.5,2803613.5,2880697.8,2826055.8,2893633.2,2906897.2,2780466.5,2828715.2,2911611.0,2578792.0,2737510.5,2875467.8,2796984.8,2619257.0,3640252.2
RAP1A_RAT,75698.77,68366.164,73606.336,65675.055,72455.52,69370.67,63929.72,65444.61,68346.625,77170.125,71470.93,79619.19,78375.21,74692.086,79272.73,76720.22,59797.69
RS15_RAT,1446285.9,1503078.1,1484979.5,1501163.5,1427456.8,1501226.5,1613872.5,1629234.5,1322962.9,1283536.0,1427082.0,1223163.2,1349043.5,1348519.4,1436842.8,1390193.1,2101879.2
RS24_RAT,1190870.8,1281798.6,1183691.4,1286229.1,1231524.0,1187532.2,1242802.9,1243970.5,1124780.6,1048245.3,1090655.4,1071603.9,1107818.4,1157839.9,1173060.8,1032873.1,1398881.8
RS25_RAT,4413834.0,4809282.0,4390341.5,4482122.5,4474586.5,4529685.0,4883923.5,4657788.0,3855351.0,3861808.8,4429970.5,4175772.2,4383799.0,4327569.0,4615321.5,3788694.8,4692389.0
RS26_RAT,743848.7,847442.8,804144.3,743397.4,726941.3,852815.44,849908.06,853762.25,667015.0,607146.6,754256.4,759313.1,647224.94,727929.1,759762.2,788867.0,501674.12
RS28_RAT,223554.38,223758.5,237511.42,187174.0,252285.02,203040.33,262836.1,195341.5,270804.0,176685.89,274621.0,182244.36,306140.88,303484.38,286565.34,370889.22,525381.5
RL30_RAT,580124.3,611182.0,499597.2,565919.1,637970.0,462528.44,538203.25,557281.7,515006.9,388309.97,489039.7,363478.8,523654.62,611263.2,626284.75,698349.44,711226.44
RL39_RAT,0.0,669030.06,619941.6,668486.8,556026.8,561790.56,581143.0,568662.44,559866.7,532189.1,551631.9,549198.9,577817.56,560009.5,575898.9,503984.78,661200.94
CYC_RAT,161608.66,148316.62,166076.2,152907.77,164794.55,160638.19,156057.3,163690.77,152478.9,149970.14,157105.72,147428.67,167672.08,156677.34,155203.11,191520.02,220061.84
RL31_RAT,2610030.2,2764265.8,2840917.8,2691052.5,2348600.8,2615804.2,2468866.0,2653922.5,2709780.0,2662049.0,2723746.5,2561758.2,3295293.2,2755957.0,3156870.0,2448081.5,3410739.5
RL10A_RAT,422404.8,455499.9,422265.28,435005.94,428312.75,394092.88,405159.75,393932.6,349174.16,327912.94,367088.62,357564.44,333724.88,365311.22,355867.28,407269.12,419178.16
RS3_RAT,1537031.5,1638121.8,1611123.2,1583755.1,1611913.4,1561156.8,1524534.8,1588753.0,1613373.8,1619403.6,1672240.5,1540666.9,1617147.5,1648888.5,1649204.5,1687923.0,1604721.9
RL32_RAT,413136.06,449808.47,389586.72,394835.25,472119.8,394664.2,469150.16,430150.22,371355.62,276118.53,391576.38,267286.5,379217.47,411675.1,431448.0,451619.75,484537.03
RL11_RAT,1788332.2,1785868.4,1768845.4,1755945.8,1668037.6,1726938.0,1786071.1,1783678.2,1388528.0,1813940.4,1856684.6,1487234.8,1730104.1,1734372.9,1956164.2,1946680.8,1932611.9
TF2B_RAT,37058.332,36945.184,36364.133,37199.86,39301.914,36879.934,34699.89,40418.645,30727.531,37038.754,36888.234,36505.035,34943.547,37986.395,36853.7,36086.637,47514.496
RL8_RAT,672647.56,744542.9,681728.56,676810.56,706150.75,620919.0,735381.06,641466.4,573319.0,554231.25,611419.44,608118.8,578469.44,636888.75,638787.75,672749.3,621132.44
AP2B1_RAT,47434.355,58594.85,51122.55,51533.28,51753.1,49476.62,46561.266,41307.812,44471.91,50789.562,44620.594,48242.93,47753.13,46176.234,46035.98,41545.97,42826.652
HINT1_RAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15006.262,0.0,15528.777,14569.351,12275.957,15884.371,12061.739,0.0
YBOX1_RAT,512919.12,543766.0,551184.7,515237.88,489565.44,547881.56,481118.53,482651.5,450069.4,482463.56,502255.16,476773.12,421577.78,426575.7,434964.22,489592.03,411250.06
PROF1_RAT,61026.39,60432.52,61007.63,58642.12,53950.39,56729.08,58358.973,55482.66,54515.348,54436.824,50029.11,73498.445,47640.54,49326.99,43416.965,48728.31,48358.047
RS27A_RAT,434768.88,459742.53,403121.38,384312.47,529193.75,292997.9,411059.56,504193.6,357761.7,359474.97,405346.28,290505.94,384103.47,552088.56,565157.8,592024.44,422770.1
TRA2B_RAT,201941.2,196992.48,205870.61,199988.83,241715.58,223743.84,251173.84,257676.52,165507.94,213472.5,209554.25,175768.36,198613.5,219475.48,226877.47,227559.67,313698.8
RAB3A_RAT,47553.0,43218.816,46036.867,43578.625,38906.004,44358.58,38842.902,43849.434,45657.11,50828.266,45828.523,44929.285,43249.12,48686.375,46175.832,49914.074,39208.5
PAX6_RAT,51934.566,49480.48,42723.113,46429.594,50242.23,41853.26,46754.38,46290.504,43629.09,36414.93,46111.43,36981.45,43666.188,45946.12,53028.54,53949.87,59481.61
HSP7C_RAT,341547.7,310577.28,315294.28,312661.1,300660.1,319650.44,333705.62,309132.34,375344.7,369610.47,365942.62,430048.25,375197.25,385359.2,392925.62,386190.44,413187.06
VAMP3_RAT,95971.97,99409.14,100246.92,99956.836,95363.836,91119.06,92488.016,92102.19,96781.3,88663.5,90471.375,99411.414,78507.84,98764.13,82476.69,93069.58,32451.361
TCTP_RAT,34069.52,25553.268,34005.285,32828.703,23713.732,36619.3,29404.178,29799.545,28367.201,27025.658,28966.775,33056.973,29040.506,25405.55,25973.96,30623.572,29648.105
DNJA1_RAT,94700.71,98185.72,96095.734,94189.32,94276.53,93068.07,95740.7,97392.7,127537.55,129963.7,132956.83,127854.6,133162.23,127976.06,129295.15,134477.31,70763.836
CH60_RAT,114025.54,100770.77,103821.23,103799.83,134327.64,139208.81,145783.84,137031.2,101839.46,105479.94,103909.63,109645.125,100135.42,122568.88,126696.875,152181.1,72001.336
VAMP2_RAT,42084.684,36159.613,33288.71,34235.21,32975.016,36625.24,37016.72,35461.195,34391.094,39965.793,34151.824,39523.332,33028.85,32016.84,29537.26,32380.604,33912.67
IF4E_RAT,30676.86,30013.264,30117.443,27541.1,27326.387,35961.59,30403.584,28600.688,29628.57,21815.344,31488.156,30739.01,28942.531,27296.336,25301.756,23411.77,21311.078
MK01_RAT,50481.496,54988.133,48673.418,50276.125,47161.184,52358.176,52857.727,53240.09,48025.97,41884.53,48961.914,45089.43,48364.773,51944.38,56026.438,48196.156,54872.61
PP1G_RAT,19453.365,17958.033,19120.258,18002.158,16093.692,18901.014,17240.242,17626.787,15958.693,14860.492,18035.443,17952.557,15170.618,15200.686,15337.184,15663.121,17803.56
PTN_RAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50842.375,51833.805,0.0,53859.184,0.0
GNAS2_RAT,18980.592,16284.785,19643.424,18878.475,22037.283,20550.521,23869.271,14524.451,15862.609,19879.46,17098.186,18674.703,16771.322,16696.111,18578.129,20026.977,44844.082
1433Z_RAT,74277.95,65630.22,67169.664,70458.805,57782.254,68779.836,66619.85,57373.527,71584.125,75300.31,66832.445,71478.73,66465.96,72105.78,71571.95,70454.06,75197.98
CRNL1_RAT,361429.88,402643.03,404669.28,376054.7,338505.97,381013.66,392232.56,355634.16,477589.62,379556.78,452644.12,466118.62,454748.5,425660.9,411338.25,448553.66,167079.64
HMGB1_RAT,944054.06,867150.25,867145.1,944183.25,1115217.2,970112.1,1013253.8,995613.4,999236.56,964041.25,973414.44,875497.06,1214464.0,1174776.5,1054347.9,1099473.6,1717697.1
DYL1_RAT,95070.016,92568.19,84224.82,80223.64,99220.3,76379.32,96620.72,88585.31,97976.234,82842.92,77039.65,71697.01,67693.36,93721.836,91580.12,98577.16,65009.746
RL38_RAT,6379740.0,7168975.0,6611168.0,6287073.0,6135937.0,5916751.0,6511653.5,5352755.5,6370446.0,5772002.0,7074554.0,5534975.5,5583786.5,6134139.0,7190076.0,7677592.0,8517372.0
RACK1_RAT,227357.89,262908.84,224597.36,245532.5,274021.22,210226.73,250772.77,241480.36,224937.14,202258.39,218642.97,206637.36,224774.84,251144.42,286433.56,290468.12,230425.98
